"Author,Title",Date,Places,Hits,https://topostext.org/texts
"Demosthenes 12, Philip's Letter",-350.0,23.0,36.0,
"Demosthenes 13, On Organization",-350.0,24.0,35.0,
"Demosthenes 14, On the Navy",-354.0,6.0,18.0,
"Demosthenes 15, On the Liberty of the Rhodians",-351.0,14.0,38.0,
"Demosthenes 16, For the Megalopolitans",-352.0,20.0,94.0,
"Demosthenes 17, On the Accession of Alexander",-350.0,15.0,33.0,
"Demosthenes 18, On the Crown",-330.0,107.0,469.0,
"Demosthenes 19, On the False Embassy",-343.0,65.0,420.0,
"Demosthenes 2, Olynthiac 2",-349.0,12.0,35.0,
"Demosthenes 20, Against Leptines",-355.0,38.0,120.0,
"Demosthenes 21, Against Midias",-361.0,40.0,122.0,
"Demosthenes 22, Against Androtion",-355.0,12.0,31.0,
"Demosthenes 23, Against Aristocrates",-350.0,57.0,219.0,
"Demosthenes 24, Against Timocrates",-350.0,25.0,69.0,
"Demosthenes 25, Against Aristogiton 1",-350.0,15.0,38.0,
"Demosthenes 26, Against Aristogiton 2",-350.0,4.0,8.0,
"Demosthenes 27, Against Aphobus 1",-350.0,4.0,4.0,
"Demosthenes 28, Against Aphobus 2",-350.0,1.0,1.0,
"Demosthenes 29, Against Aphobus 3",-350.0,3.0,3.0,
"Demosthenes 3, Olynthiac 3",-349.0,11.0,28.0,
"Demosthenes 30, Against Onetor 1",-350.0,1.0,1.0,
"Demosthenes 31, Against Onetor 2",-350.0,0.0,0.0,
"Demosthenes 32, Against Zenothemis",-350.0,6.0,21.0,
"Demosthenes 33, Against Apatourius",-350.0,9.0,14.0,
"Demosthenes 34, Against Phormio",-350.0,11.0,56.0,
"Demosthenes 35, Against Lacritus",-350.0,32.0,110.0,
"Demosthenes 36, For Phormio",-350.0,4.0,23.0,
"Demosthenes 37, Against Pantaenetus",-346.0,5.0,16.0,
"Demosthenes 38, Against Nausimachus and Xenopeithes",-346.0,1.0,3.0,
"Demosthenes 39, Against Boeotus 1",-348.0,4.0,14.0,
"Demosthenes 4, Philippic 1",-350.0,22.0,62.0,
"Demosthenes 40, Against Boeotus 2",-348.0,9.0,14.0,
"Demosthenes 41, Against Spudias",-350.0,1.0,1.0,
"Demosthenes 42, Against Phaenippus",-350.0,6.0,6.0,
"Demosthenes 43, Against Macartatus",-350.0,7.0,15.0,
"Demosthenes 44, Against Leochares",-350.0,7.0,26.0,
"Demosthenes 45, Against Stephanus 1",-349.0,10.0,37.0,
"Demosthenes 46, Against Stephanus 2",-349.0,1.0,3.0,
"Demosthenes 47, Against Euergus and Mnesibulus",-350.0,5.0,8.0,
"Demosthenes 48, Against Olympiodorus",-350.0,5.0,5.0,
"Demosthenes 49, Against Timotheus",-350.0,13.0,45.0,
"Demosthenes 5, On the Peace",-346.0,26.0,58.0,
"Demosthenes 50, Against Polycles",-350.0,31.0,74.0,
"Demosthenes 51, On the Trierarchic Crown",-359.0,2.0,6.0,
"Demosthenes 52, Against Callippus",-368.0,11.0,22.0,
"Demosthenes 53, Against Nicostratus",-350.0,6.0,8.0,
"Demosthenes 54, Against Conon",-350.0,15.0,18.0,
"Demosthenes 55, Against Callicles",-350.0,2.0,9.0,
"Demosthenes 56, Against Dionysodorus",-350.0,5.0,80.0,
"Demosthenes 57, Against Eubulides",-350.0,13.0,47.0,
"Demosthenes 58, Against Theocrines",-350.0,16.0,20.0,
"Demosthenes 59, Against Neaera",-350.0,75.0,223.0,
"Demosthenes 6, Philippic 2",-344.0,26.0,65.0,
"Demosthenes 60, Funeral Speech",-338.0,4.0,6.0,
"Demosthenes 61, Erotic Essay",-350.0,4.0,4.0,
"Demosthenes 7, On the Halonnesus",-343.0,30.0,65.0,
"Demosthenes 8, On the Chersonese",-341.0,28.0,87.0,
"Demosthenes 9, Philippic 3",-341.0,45.0,123.0,
"Dictys Cretensis, Trojan War Chronicle",100.0,104.0,326.0,
"Didymus Brassguts, On Demosthenes",100.0,76.0,129.0,
"Dinarchus, Against Aristogeiton",-324.0,7.0,16.0,
"Dinarchus, Against Demosthenes",-324.0,45.0,120.0,
"Dinarchus, Against Philocles",-324.0,13.0,18.0,
"Dio Cassius, Histories",230.0,530.0,4405.0,
"Dio Chrysostom, Speeches",112.0,198.0,915.0,
"Diodorus Siculus, Library 1-7",-49.0,422.0,2130.0,
"Diodorus Siculus, Library 8-40",-49.0,819.0,10862.0,
"Diogenes Laertius, Lives of the Philosophers",240.0,312.0,1464.0,
"Dionysius Calliphontis, Description of Greece",-100.0,100.0,113.0,
"Dionysius of Alexandria, Guide to the Inhabited World",125.0,305.0,556.0,
"Dionysius of Byzantium, Anaplous of the Bosporos",100.0,55.0,133.0,
"Dionysius of Halicarnassus, Dinarchus",-5.0,23.0,37.0,
"Dionysius of Halicarnassus, First Letter To Ammaeus",-5.0,38.0,52.0,
